Mouse_ID,Genotype,Sex,Age,NOR,ExpGroup,EXPL
G1,APP/PS1,m,3,0.356736,Cohort1,8.57
G10,APP/PS1,f,3,0.4484755,Cohort1,10.65
G14,APP/PS1,f,3,0.362722333,Cohort1,10.47
G15,APP/PS1,f,3,0.144484,Cohort1,32.8466667
G19,APP/PS1,m,3,0.009711333,Cohort1,27.0733333
G2,APP/PS1,m,3,0.338908,Cohort1,16.853333
G21,APP/PS1,m,3,0.279038667,Cohort1,26.323333
G26,APP/PS1,f,3,0.401109667,Cohort1,31.423333
G28,APP/PS1,m,3,0.367213667,Cohort1,27.60666667
G33,APP/PS1,f,3,0.015309667,Cohort1,37.2533333
G38,APP/PS1,m,3,0.3560065,Cohort1,16.4
G39,APP/PS1,m,3,0.5306965,Cohort1,28.5466667
G53,APP/PS1,f,3,0.438597667,Cohort1,33.62
G7,APP/PS1,m,3,0.136589,Cohort1,23.07
G23,APP/PS1+Tau,f,3,0.322141667,Cohort1,28.74
G24,APP/PS1+Tau,f,3,0.16222,Cohort1,37.06
G29,APP/PS1+Tau,m,3,0.152269333,Cohort1,35.8966667
G31,APP/PS1+Tau,m,3,0.403019,Cohort1,25.31333333
G36,APP/PS1+Tau,f,3,0.148988333,Cohort1,37.16666667
G46,APP/PS1+Tau,f,3,0.2262335,Cohort1,26.39
G54,APP/PS1+Tau,f,3,0.412859333,Cohort1,38.36333333
G62,APP/PS1+Tau,m,3,0.058752,Cohort1,28.01
G13,control,f,3,0.31492533,Cohort1,20.706667
G18,control,m,3,0.1826405,Cohort1,14.5866667
G20,control,m,3,0.6552145,Cohort1,14.7566667
G22,control,m,3,0.150661333,Cohort1,22.1266667
G30,control,m,3,0.546574667,Cohort1,26.623333
G34,control,f,3,0.002481,Cohort1,40.7233333
G35,control,f,3,0.374425667,Cohort1,34.19333333
G41,control,m,3,0.295243667,Cohort1,25.66667
G43,control,f,3,0.036121667,Cohort1,34.85666667
G44,control,f,3,0.34135,Cohort1,26.7133333
G48,control,f,3,0.289028667,Cohort1,25.303333
G49,control,f,3,0.118200667,Cohort1,30.6133333
G51,control,m,3,0.142926333,Cohort1,28.656667
G52,control,m,3,0.021616333,Cohort1,20.39
G61,control,m,3,0.233641,Cohort1,27.3466667
G8,control,m,3,0.156936,Cohort1,23.29
G11,Tau,f,3,0.505362,Cohort1,8.73
G12,Tau,f,3,0.129659333,Cohort1,16.09666667
G25,Tau,f,3,0.521463333,Cohort1,33.54
G27,Tau,m,3,0.087899,Cohort1,50.14
G3,Tau,m,3,0.242619333,Cohort1,41.523333
G4,Tau,m,3,0.4977655,Cohort1,19.02666667
G40,Tau,m,3,0.270200667,Cohort1,31.02666667
G42,Tau,f,3,0.186293333,Cohort1,26.92
G45,Tau,f,3,0.277048,Cohort1,44.72
G47,Tau,f,3,0.132508667,Cohort1,29.27666667
G5,Tau,m,3,0.102065,Cohort1,10.10666667
G50,Tau,m,3,0.455509,Cohort1,26.92
G55,Tau,f,3,0.031767,Cohort1,64.11
G6,Tau,m,3,0.348048667,Cohort1,35.4033333
G9,Tau,m,3,0.57399,Cohort1,33.883333
G1,APP/PS1,m,6,0.414927,Cohort1,16.81
G10,APP/PS1,f,6,0.575353,Cohort1,16.18
G14,APP/PS1,f,6,0.186521333,Cohort1,22.92
G15,APP/PS1,f,6,0.270024,Cohort1,26.77
G19,APP/PS1,m,6,0.371836,Cohort1,13.92
G2,APP/PS1,m,6,0.285368,Cohort1,23.08
G21,APP/PS1,m,6,0.021576,Cohort1,16.93
G26,APP/PS1,f,6,0.208602667,Cohort1,18.58
G28,APP/PS1,m,6,0.1918515,Cohort1,14.44
G33,APP/PS1,f,6,0.248674333,Cohort1,23.01
G38,APP/PS1,m,6,0.103496,Cohort1,6.74
G39,APP/PS1,m,6,0.505141,Cohort1,14.02
G53,APP/PS1,f,6,0.071437667,Cohort1,22.11
G7,APP/PS1,m,6,0.143485,Cohort1,16.71
G23,APP/PS1+Tau,f,6,0.163449,Cohort1,47.11
G24,APP/PS1+Tau,f,6,0.2902885,Cohort1,24.63
G29,APP/PS1+Tau,m,6,0.333785667,Cohort1,27.63
G31,APP/PS1+Tau,m,6,0.4354245,Cohort1,12.83
G36,APP/PS1+Tau,f,6,0.080112667,Cohort1,34.95
G46,APP/PS1+Tau,f,6,0.169562,Cohort1,16.44
G54,APP/PS1+Tau,f,6,0.009305333,Cohort1,18
G62,APP/PS1+Tau,m,6,0.118060667,Cohort1,25.84
G13,control,f,6,0.477007667,Cohort1,21.19
G18,control,m,6,0.2544525,Cohort1,14.89
G20,control,m,6,0.002267,Cohort1,17.9
G30,control,m,6,0.184786,Cohort1,24.14
G34,control,f,6,0.391818,Cohort1,19.59
G35,control,f,6,0.071407667,Cohort1,23.94
G41,control,m,6,0.223713333,Cohort1,37.41
G43,control,f,6,0.241460667,Cohort1,36.12
G44,control,f,6,0.373927333,Cohort1,25.94
G48,control,f,6,0.047960333,Cohort1,29.51
G49,control,f,6,0.104632333,Cohort1,29.24
G51,control,m,6,0.105121333,Cohort1,23.26
G52,control,m,6,0.278219,Cohort1,22.71
G61,control,m,6,0.045,Cohort1,14.57
G8,control,m,6,0.244667,Cohort1,24.01
G11,Tau,f,6,0.778116,Cohort1,9.87
G12,Tau,f,6,0.254741333,Cohort1,24.61
